SKU,Item Name,Date,QTY Sold,Price
000001,Brown Paper Bag (1),2025-09-01 12:13:50,220,0.25
0270XC,Chase Authentic Racing Leather Jacket Bw (1),2025-09-01 12:13:50,1,99.99
0003BE,The Flight Club Suede Leather Varsity Jacket L B (1),2025-09-01 12:15:16,1,74.99
0003FU,Magenta and Purple Slip A (1),2025-09-01 13:01:40,1,27.99
01415M,SALE green checkered wool skirt (1),2025-09-01 13:01:40,1,14.0
01X063,Angelico Necklace (1),2025-09-01 13:30:07,4,28.0
03D007,AJ7-Bracelet- $10 (1),2025-09-01 13:30:07,1,10.0
0140Y0,SALE polka dot slip (1),2025-09-01 13:42:23,1,13.0
02B002,Delicate Baby Cat Waterproof Vinyl Sticker (1),2025-09-01 13:46:24,4,3.99
02B006,Incorrigible Waterproof Vinyl Sticker (1),2025-09-01 13:46:24,4,3.99
02B00G,Summoning Waterproof Vinyl Sticker (1),2025-09-01 13:46:24,3,3.99
02B017,Baby on Board Waterproof Vinyl Sticker (2),2025-09-01 13:46:24,2,7.98
03W00R,I'm a delight sticker (1),2025-09-01 13:49:19,1,4.0
0001VQ,Lays Chips Sweet & Spicy Fried Chicken (1),2025-09-01 13:50:10,3,4.99
02901K,Guilty Of Doin Too Much (1),2025-09-01 13:50:10,6,2.5
0003L5,Jennifer Moore Black Floral Button Up L A (1),2025-09-01 14:11:03,1,27.99
01Y048,Charm Earrings Tier 2 (1),2025-09-01 14:11:03,1,22.0
029010,Thizz Face (1),2025-09-01 14:11:03,3,2.5
029018,Reserved For Your Mom (1),2025-09-01 14:11:03,1,3.0
02901C,Respect or Expect (1),2025-09-01 14:11:03,1,3.0
03K01O,2 for 40 lotus & thai tea (1),2025-09-01 14:11:03,1,40.0
03W00J,Jake Angel Sticker (1),2025-09-01 14:11:03,2,4.0
03W017,Just Farted Tomato Sticker (1),2025-09-01 14:11:03,1,4.0
03X018,Coffin Cat Pin. (1),2025-09-01 14:11:42,1,10.0
0003JZ,y2k Rocawear Sukajan Souvenir Bomber Jacket Red and Black 3XL B (1),2025-09-01 14:12:21,1,89.99
02R01V,IT'S-THE-BAY sticker (2),2025-09-01 14:21:00,2,6.0
