Payout Date,Issued By,Consignor,Payout Type,Total Payout,,,,,,,,,,,,Category,,,,SKU#,Item Name,Date,QTY Sold,Sold Total,Cost Total,Gross Total,NET Total,Category,,Categories,
08-31-2025,Annie Zhou,Alexis Ellis - 02T,Print List,"$1,907.40",,,,,,,,,,,,Tees,"$5,272.97",,,1,Brown Paper Bag ,,363,$90.70,$0.00,$90.70,$90.70,,,Tees,"$1,965.39"
Item,Sale,Agreed,Cost/Split,Aged Price,Discounts,Sold,Amount,,,,,,,,,Jackets,"$3,168.69",,,,,,,,,,,,,Jackets,"$1,404.78"
Vintage jessica simpson tassel good  •*𝓫𝓪𝓰 𝓵𝓪𝓭𝔂 ˏˋ°•*⁀➷,17783,$25.00,80.00%,$25.00,,08-01-2025,$20.00,Bags,,,,,,,,Tank tops ,"$2,424.00",,,0001VQ,Lays Chips Sweet & Spicy Fried Chicken ,,3,$14.97,$5.97,$14.97,$9.00,Prepackaged Snacks,,Hoodies,$862.79
sale bb <3 $15 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,17790,$15.00,80.00%,$15.00,,08-01-2025,$12.00,Tees,,,,,,,,Shorts/Jorts,"$2,338.90",,,0002ZX,Lay's Fried Crab Chips ,,3,$14.97,$7.47,$14.97,$7.50,Prepackaged Snacks,,Tank tops ,$672.76
express pinstriped pants 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,17792,$38.00,80.00%,$38.00,,08-01-2025,$30.40,Jeans ,,,,,,,,Jeans ,"$2,312.61",,,0002ZV,Lays Roasted Lamb Skewer Chips ,,2,$9.98,$4.98,$9.98,$5.00,Prepackaged Snacks,,Jeans ,$639.88
skirts 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,17810,$20.00,80.00%,$20.00,,08-01-2025,$16.00,Skirts,,,,,,,,Necklaces,"$2,133.00",,,0002UD,Cheetos Japanese Steak Flavor ,2025-08-02 16:44:06,1,$3.99,$1.99,$3.99,$2.00,Prepackaged Snacks,,Long Sleeves,$635.85
button up bb  𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,17830,$20.00,80.00%,$20.00,,08-02-2025,$16.00,Button Ups,,,,,,,,Skirts,"$2,109.94",,,0002UC,Oreo Strawberry Cream Flavor ,,5,$27.50,$16.66,$27.50,$10.84,Prepackaged Snacks,,Blouses,$358.89
Black skirt flouncy 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,17834,$25.00,80.00%,$25.00,,08-02-2025,$20.00,Skirts,,,,,,,,Stickers,"$1,828.01",,,0002K4,Oreo Ultra Thin Biscuit Rose 0 Sugar ,,2,$11.00,$5.40,$11.00,$5.60,Prepackaged Snacks,,Prepackaged Snacks,$348.06
vintage y2k refuge heel platforms worn 𝓼𝓱𝓸𝓮 𝓭𝓻𝓸𝓹!,17859,$18.00,80.00%,$18.00,,08-02-2025,$14.40,Misc. Accessories,,,,,,,,Earrings,"$1,777.00",,,0003C8,Freeze dried gummy worms ,,11,$76.89,$0.00,$76.89,$76.89,Prepackaged Snacks,,Shorts/Jorts,$295.91
skirts 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,17879,$10.00,80.00%,$10.00,,08-02-2025,$8.00,Skirts,,,,,,,,Lingerie,"$1,679.95",,,0001K5,Mango Gummy 8D Peelable Candy Containing Concentrate Gummy ,,4,$19.96,$7.96,$19.96,$12.00,Prepackaged Snacks,,Lingerie,$235.93
skirts 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,17880,$10.00,80.00%,$10.00,,08-02-2025,$8.00,Skirts,,,,,,,,Nails,"$1,534.83",,,0002LI,Oasis Treasure Dubai Chocolate Pistachio ,2025-08-05 14:48:13,3,$32.97,$32.97,$32.97,$0.00,Prepackaged Snacks,,Sweaters,$226.94
skirts 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,17880,$15.00,80.00%,$15.00,,08-02-2025,$12.00,Skirts,,,,,,,,Keychains,"$1,344.44",,,0003EI,Hi-Chew Superfruit Mix ,2025-08-06 17:04:30,3,$17.97,$0.00,$17.97,$17.97,Prepackaged Snacks,,Coats,$179.98
skirts 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,17887,$25.00,80.00%,$25.00,,08-02-2025,$20.00,Skirts,,,,,,,,Prints,"$1,192.73",,,0002ZW,Lay's Spicy Crayfish Chips ,2025-08-06 17:29:30,1,$4.99,$2.49,$4.99,$2.50,Prepackaged Snacks,,Button Ups,$162.96
Vintage messenger cutie worn •*𝓫𝓪𝓰 𝓵𝓪𝓭𝔂 ˏˋ°•*⁀➷,17921,$20.00,80.00%,$20.00,,08-03-2025,$16.00,Bags,,,,,,,,Sportswear,"$1,179.95",,,365,Lays Garlic Oyster Chips ,2025-08-09 13:59:35,2,$9.98,$5.98,$9.98,$4.00,Prepackaged Snacks,,Dresses,$149.95
beige buckle bag •*𝓫𝓪𝓰 𝓵𝓪𝓭𝔂 ˏˋ°•*⁀➷,17924,$18.00,80.00%,$18.00,,08-03-2025,$14.40,Bags,,,,,,,,Long Sleeves,"$1,028.98",,,0002QK,Lays Texas Grilled BBQ Chips ,2025-08-06 17:30:11,1,$4.99,$4.99,$4.99,$0.00,Prepackaged Snacks,,Sportswear,$139.96
"navy thermal bb 𝖇𝖆𝖇𝖞, 𝖎𝖙’𝖘 𝖈𝖚𝖙𝖊",17958,$18.00,80.00%,$18.00,,08-04-2025,$14.40,Long Sleeves,,,,,,,,Bags,"$1,003.97",,,0003EH,Lay's Potato Chips Turkey Noodles Flavor ,2025-08-06 17:30:57,3,$14.97,$0.00,$14.97,$14.97,Prepackaged Snacks,,Crewnecks,$130.98
$20 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,17972,$20.00,80.00%,$20.00,,08-04-2025,$16.00,Skirts,,,,,,,,Blouses,$983.50,,,0002UB,"Lay's Wave Chips, Grilled Squid Flavor ",2025-08-08 15:18:03,1,$4.99,$1.99,$4.99,$3.00,Prepackaged Snacks,,Bags,$129.97
sale bb <3 $15 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,17982,$15.00,80.00%,$15.00,,08-05-2025,$12.00,Tees,,,,,,,,Dresses,$782.00,,,0002QP,Hi-Chew Fantasy Mix Candy ,2025-08-23 17:12:12,1,$5.99,$3.29,$5.99,$2.70,Prepackaged Snacks,,Vests,$97.98
southpole white capri cutie ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,18001,$40.00,80.00%,$40.00,,08-05-2025,$32.00,Shorts/Jorts,,,,,,,,Hoodies,$674.96,,,0002QL,Lays Grilled Pork Chips ,2025-08-15 17:35:50,2,$9.98,$9.98,$9.98,$0.00,Prepackaged Snacks,,Keychains,$67.00
vintage leather black buckle Hobo the original bag •*𝓫𝓪𝓰 𝓵𝓪𝓭𝔂 ˏˋ°•*⁀➷,18039,$45.00,80.00%,$45.00,,08-06-2025,$36.00,Bags,,,,,,,,Misc. Accessories,$622.87,,,0002K3,Oreo Biscuit Peach Oolong ,,5,$27.50,$18.35,$27.50,$9.15,Prepackaged Snacks,,Skirts,$56.98
purple silver charm cutie bag •*𝓫𝓪𝓰 𝓵𝓪𝓭𝔂 ˏˋ°•*⁀➷,18039,$30.00,80.00%,$30.00,,08-06-2025,$24.00,Bags,,,,,,,,Sweaters,$607.70,,,0002QN,Hi-Chew Berry Mix Candy ,2025-08-09 16:52:24,1,$5.99,$3.29,$5.99,$2.70,Prepackaged Snacks,,Cardigans,$43.99
denim mini cutie ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,18044,$40.00,80.00%,$40.00,,08-06-2025,$32.00,Shorts/Jorts,,,,,,,,Tumblers,$503.19,,,00039W,Hi-Chew Plus Fruit Mix Candy ,2025-08-22 17:29:07,1,$5.99,$3.29,$5.99,$2.70,Prepackaged Snacks,,Overalls,$32.99
vintage derek heart sweater gray SO CUTE <3 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,18073,$38.00,80.00%,$38.00,,08-07-2025,$30.40,Sweaters,,,,,,,,Button Ups,$416.99,,,0002VQ,Oreo Grape and Peach ,2025-08-28 14:50:27,2,$11.00,$3.98,$11.00,$7.02,Prepackaged Snacks,,Athleticwear,$21.99
$15  𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,18074,$15.00,80.00%,$15.00,,08-07-2025,$12.00,Skirts,,,,,,,,Bracelets,$413.00,,,328,Oreo Blueberry and Raspberry ,2025-08-29 16:30:53,1,$5.50,$2.99,$5.50,$2.51,Prepackaged Snacks,,,"$8,861.91"
