Payout Date,,,Issued By,Consignor,Payout Type,Total Payout,,,,,,,,,,,,Category,,,,SKU#,Item Name,Date,QTY Sold,Sold Total,Cost Total,Gross Total,NET Total,,,,,Category,,
07-31-2025,,,Annie Zhou,Alexis Ellis - 02T,Print List,"$1,352.20",,,,,,,,,,,,Tees,"$4,966.65",,,1,Brown Paper Bag ,,370,$92.45,$68.75,$92.45,$23.70,,,,,Jackets,"$2,268.69",22.52%
Item,,Sold,Sale,Agreed,Cost/Split,Aged Price,Discounts,Amount,,,,,,,,,,Jackets,"$2,589.76",,,,,,,,,,,,,,,Tees,"$2,068.30",20.53%
Ruff hewn spring jacket bb L ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,Jackets,07-01-2025,16409,$28.00,80.00%,$28.00,,$22.40,,,,,,,,,,Shorts/Jorts,"$2,028.80",,,0001K4,Finding Unicorn Rico Happy Friends Together Series Blind Box ,2025-07-19 15:47:29,1,$12.99,$0.00,$12.99,$12.99,Misc. Accessories,,,,Jeans ,"$1,339.71",13.30%
y2k cutie miss me capri 26 𝖉𝖊𝖓𝖎𝖒 𝖉𝖗𝖔𝖕,Shorts/Jorts,07-02-2025,16452,$65.00,80.00%,$65.00,,$52.00,,,,,,,,,,Tank tops ,"$2,026.00",,,,,,,,,,,,,,,Long Sleeves,$716.30,7.11%
$25  𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Skirts,07-02-2025,16452,$25.00,80.00%,$25.00,,$20.00,,,,,,,,,,Stickers,"$1,905.53",,,0002LI,Oasis Treasure Dubai Chocolate Pistachio ,,9,$98.91,$98.91,$98.91,$0.00,Prepackaged Snacks,,,,Shorts/Jorts,$710.56,7.05%
vintage 90s gray plaid my lola shortie cutie <3 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,Shorts/Jorts,07-03-2025,16473,$34.00,80.00%,$34.00,,$27.20,,,,,,,,,,Lingerie,"$1,881.50",,,0002UC,Oreo Strawberry Cream Flavor ,,7,$38.50,$19.53,$38.50,$18.97,Prepackaged Snacks,,,,Hoodies,$544.88,5.41%
bcbg maxaria stripe bb  <3 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,Jackets,07-04-2025,16504,$45.00,80.00%,$45.00,,$36.00,,,,,,,,,,Jeans ,"$2,095.71",,,328,Oreo Blueberry and Raspberry ,,5,$27.50,$14.95,$27.50,$12.55,Prepackaged Snacks,,,,Prepackaged Snacks,$480.74,4.77%
$25  𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Skirts,07-04-2025,16527,$25.00,80.00%,$25.00,,$20.00,,,,,,,,,,Skirts,"$1,744.00",,,0002VQ,Oreo Grape and Peach ,,6,$33.00,$11.94,$33.00,$21.06,Prepackaged Snacks,,,,Tank tops ,$381.87,3.79%
vintage gap button sweater sleeveless  <3 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,Sweaters,07-04-2025,16539,$34.00,80.00%,$34.00,,$27.20,,,,,,,,,,Necklaces,"$1,641.00",,,0002K4,Oreo Ultra Thin Biscuit Rose 0 Sugar ,,3,$16.50,$8.10,$16.50,$8.40,Prepackaged Snacks,,,,Coats,$371.96,3.69%
guess shoulder bag •*𝓫𝓪𝓰 𝓵𝓪𝓭𝔂 ˏˋ°•*⁀➷,Bags,07-05-2025,16549,$40.00,80.00%,$40.00,,$32.00,,,,,,,,,,Keychains,"$1,511.78",,,0002K3,Oreo Biscuit Peach Oolong ,,7,$38.50,$17.15,$38.50,$21.35,Prepackaged Snacks,,,,Button Ups,$298.93,2.97%
slip dress black 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Lingerie,07-05-2025,16560,$20.00,80.00%,$20.00,,$16.00,,,,,,,,,,Earrings,"$1,419.00",,,0001K5,Mango Gummy 8D Peelable Candy Containing Concentrate Gummy ,,7,$34.93,$13.93,$34.93,$21.00,Prepackaged Snacks,,,,Crewnecks,$189.47,1.88%
no boundaries shorties skulls ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,Shorts/Jorts,07-05-2025,16587,$28.00,80.00%,$28.00,,$22.40,,,,,,,,,,Nails,"$1,408.00",,,0002DR,Banana Milk Gummy Peelable Candy ,,7,$34.93,$13.93,$34.93,$21.00,Prepackaged Snacks,,,,Bags,$124.97,1.24%
vintage navy dress 𝖏𝖚𝖎𝖈𝖞 𝖉𝖗𝖔𝖕,Dresses,07-06-2025,16603,$50.00,80.00%,$50.00,,$40.00,,,,,,,,,,Long Sleeves,"$1,281.46",,,0001ZT,Skittles Soft Gummy Fruit Mix Flavor ,,2,$13.98,$5.98,$13.98,$8.00,Prepackaged Snacks,,,,Skirts,$94.97,0.94%
Hollister neon low rise shortie ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,Shorts/Jorts,07-06-2025,16605,$24.00,80.00%,$24.00,,$19.20,,,,,,,,,,Prints,"$1,034.69",,,0002QQ,Hi-Chew Tropical Mix Candy ,2025-07-18 16:02:20,1,$5.99,$3.29,$5.99,$2.70,Prepackaged Snacks,,,,Sportswear,$84.97,0.84%
dkny buckle bb •*𝓫𝓪𝓰 𝓵𝓪𝓭𝔂 ˏˋ°•*⁀➷,Bags,07-06-2025,16619,$20.00,80.00%,$20.00,,$16.00,,,,,,,,,,Blouses,"$1,044.00",,,0002QP,Hi-Chew Fantasy Mix Candy ,,6,$35.94,$19.74,$35.94,$16.20,Prepackaged Snacks,,,,Sweaters,$81.99,0.81%
black and white plaid shorties 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,Shorts/Jorts,07-07-2025,16655,$38.00,80.00%,$38.00,,$30.40,,,,,,,,,,Bags,$920.98,,,0002QM,Hi-Chew Sweet & Sour Mix Candy ,,3,$17.97,$9.87,$17.97,$8.10,Prepackaged Snacks,,,,Lingerie,$78.47,0.78%
vintage/y2k deal $15 <3 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Tees,07-08-2025,16669,$15.00,80.00%,$15.00,,$12.00,,,,,,,,,,Hoodies,$852.48,,,00039X,Meiji Kajyu Gummy Orange Candy ,2025-07-29 17:10:29,1,$4.50,$2.29,$4.50,$2.21,Prepackaged Snacks,,,,Athleticwear,$68.99,0.68%
$20 skirt  𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Skirts,07-08-2025,16670,$20.00,80.00%,$20.00,,$16.00,,,,,,,,,,Dresses,$693.00,,,00039Z,Meiji Kajyu Muscat Gummy Candy ,2025-07-29 17:12:18,1,$4.50,$0.00,$4.50,$4.50,Prepackaged Snacks,,,,Vests,$56.98,0.57%
express button shorties  <3 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,Shorts/Jorts,07-09-2025,16710,$38.00,80.00%,$38.00,,$30.40,,,,,,,,,,Misc. Accessories,$521.40,,,0001VQ,Lays Chips Sweet & Spicy Fried Chicken ,,2,$9.98,$3.98,$9.98,$6.00,Prepackaged Snacks,,,,Overalls,$49.99,0.50%
$25  𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Skirts,07-09-2025,16711,$25.00,80.00%,$25.00,,$20.00,,,,,,,,,,Bracelets,$499.00,,,0002QO,Lays Chilli and Lime Chips ,,2,$7.98,$2.58,$7.98,$5.40,Prepackaged Snacks,,,,Dresses,$29.99,0.30%
vintage y2k pink juicy front logo sparkle velour damaged 𝖏𝖚𝖎𝖈𝖞 𝖉𝖗𝖔𝖕,Jackets,07-09-2025,16714,$58.00,80.00%,$58.00,,$46.40,,,,,,,,,,Tumblers,$426.36,,,0002ZV,Lays Roasted Lamb Skewer Chips ,,2,$9.98,$4.98,$9.98,$5.00,Prepackaged Snacks,,,,Blouses,$20.00,0.20%
sale bb <3 $10 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Tank tops ,07-09-2025,16722,$10.00,80.00%,$10.00,,$8.00,,,,,,,,,,Crochet Accessories,$426.00,,,0002K2,Lays Kobe Steak Flavor Chips ,,4,$22.20,$12.00,$22.20,$10.20,Prepackaged Snacks,,,,Misc. Accessories,$12.99,0.13%
$20 skirt  𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Skirts,07-09-2025,16723,$20.00,80.00%,$20.00,,$16.00,,,,,,,,,,Button Ups,$415.99,,,0002UB,"Lay's Wave Chips, Grilled Squid Flavor ",2025-07-06 17:21:21,1,$4.99,$1.99,$4.99,$3.00,Prepackaged Snacks,,,,Cardigans,$0.00,0.00%
braided belt bb 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Belts,07-09-2025,16724,$16.00,80.00%,$16.00,,$12.80,,,,,,,,,,Candles,$355.00,,,0002QK,Lays Texas Grilled BBQ Chips ,2025-07-19 14:18:50,1,$4.99,$2.49,$4.99,$2.50,Prepackaged Snacks,,,,Hats,$0.00,0.00%
$20 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,Skirts,07-10-2025,16761,$20.00,80.00%,$20.00,,$16.00,,,,,,,,,,Phone Charms,$347.96,,,365,Lays Garlic Oyster Chips ,2025-07-20 12:39:16,1,$4.99,$2.99,$4.99,$2.00,Prepackaged Snacks,,,,Keychains,$0.00,0.00%
