Payout Date,Consignor,,Issued By,Payout Type,Total Payout,,,,,,,,,,Category,,,,SKU#,Item Name,Date,QTY Sold,Sold Total,Cost Total,Gross Total,NET Total,,,,Category,,
06-30-2025,Alexis Ellis - 02T,,Annie Zhou,Print List,$905.80,,,,,,,,,,Jackets,"$3,405.14",12.15%,,1,Brown Paper Bag ,,295,$73.75,$73.75,$73.75,$0.00,,,,Jackets,"$1,795.68",23.82%
Item,Agreed,Sold,Sale,Cost/Split,Aged Price,Discounts,Amount,,,,,,,,Tees,"$2,302.82",8.22%,,0000AU,Dog vs. Food Postcard ,2025-06-30 17:18:57,1,$4.99,$0.00,$4.99,$4.99,Prints,,,Tees,"$1,164.59",15.45%
arizona camo capri bow cutie ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,$38.00,06-03-2025,15394,80.00%,$38.00,,$30.40,Shorts/Jorts,,,,,,,Lingerie,"$2,165.00",7.73%,,,,,,,,,,,,,Hoodies,$876.79,11.63%
vintage/y2k deal $20 <3 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,$20.00,06-03-2025,15394,80.00%,$20.00,,$16.00,Lingerie,,,,,,,Necklaces,"$1,938.00",6.92%,,0002LI,Oasis Treasure Dubai Chocolate Pistachio ,,11,$120.89,$120.89,$120.89,$0.00,Prepackaged Snacks,,,Jeans ,$643.35,8.54%
vintage/y2k deal $15 <3 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,$15.00,06-03-2025,15394,80.00%,$15.00,,$12.00,Tank tops ,,,,,,,Stickers,"$1,635.21",5.84%,,0002K3,Oreo Biscuit Peach Oolong ,,6,$33.00,$14.70,$33.00,$18.30,Prepackaged Snacks,,,Shorts/Jorts,$484.86,6.43%
Abercombie denim mini cute,$26.00,06-04-2025,15409,80.00%,$26.00,,$20.80,Shorts/Jorts,,,,,,,Nails,"$1,606.20",5.73%,,0002UA,Oreo Matcha Flavor ,,6,$33.00,$20.94,$33.00,$12.06,Prepackaged Snacks,,,Prepackaged Snacks,$415.58,5.51%
$20 cutie 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,$20.00,06-04-2025,15427,80.00%,$20.00,,$16.00,Tank tops ,,,,,,,Shorts/Jorts,"$1,439.94",5.14%,,0002UC,Oreo Strawberry Cream Flavor ,,4,$22.00,$11.16,$22.00,$10.84,Prepackaged Snacks,,,Button Ups,$318.92,4.23%
vintage shortie 𝖉𝖊𝖓𝖎𝖒 𝖉𝖗𝖔𝖕,$30.00,06-05-2025,15444,80.00%,$30.00,,$24.00,Shorts/Jorts,,,,,,,Earrings,"$1,355.00",4.84%,,0002K4,Oreo Ultra Thin Biscuit Rose 0 Sugar ,,3,$16.50,$8.10,$16.50,$8.40,Prepackaged Snacks,,,Long Sleeves,$282.93,3.75%
wet seal denim shortie perfection ⋆ ˚｡⋆୨𝚐𝚛𝚞𝚗𝚐𝚢 𝚐𝚞𝚛𝚕𝚢୧⋆ ˚｡⋆,$30.00,06-05-2025,15451,80.00%,$30.00,,$24.00,Shorts/Jorts,,,,,,,Skirts,"$1,178.00",4.20%,,0002VQ,Oreo Grape and Peach ,,4,$22.00,$7.96,$22.00,$14.04,Prepackaged Snacks,,,Coats,$244.96,3.25%
vintage boom boom jeans denim lace bb <3 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,$38.00,06-06-2025,15467,80.00%,$38.00,,$30.40,Jeans ,,,,,,,Jeans ,"$1,132.89",4.04%,,328,Oreo Blueberry and Raspberry ,2025-06-17 14:14:56,3,$16.50,$8.97,$16.50,$7.53,Prepackaged Snacks,,,Sportswear,$244.92,3.25%
vintage boom boom shortie 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,$38.00,06-06-2025,15480,80.00%,$38.00,,$30.40,Shorts/Jorts,,,,,,,Prints,"$1,099.72",3.93%,,00027L,Skittles Candy Berry Flavor 40g ,,3,$11.97,$4.11,$11.97,$7.86,Prepackaged Snacks,,,Overalls,$219.97,2.92%
vintage liz & co red buckle cutie•*𝓫𝓪𝓰 𝓵𝓪𝓭𝔂 ˏˋ°•*⁀➷,$25.00,06-07-2025,15527,80.00%,$25.00,,$20.00,Bags,,,,,,,Tank tops ,"$1,006.50",3.59%,,0001ZT,Skittles Soft Gummy Fruit Mix Flavor ,2025-06-12 15:04:02,2,$13.98,$5.98,$13.98,$8.00,Prepackaged Snacks,,,Bags,$172.96,2.29%
vintage 90s sweater tank apys <3 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,$30.00,06-08-2025,15544,80.00%,$30.00,,$24.00,Sweaters,,,,,,,Long Sleeves,$918.99,3.28%,,00027M,Skittles Mini - Colorful and Fruity Gummy 25g ,2025-06-13 18:53:02,2,$5.98,$3.50,$5.98,$2.48,Prepackaged Snacks,,,Tank tops ,$103.96,1.38%
vintage southpole layered tee 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,$28.00,06-08-2025,15558,80.00%,$28.00,,$22.40,Tees,,,,,,,Keychains,$797.82,2.85%,,0002DR,Banana Milk Gummy Peelable Candy ,2025-06-17 14:14:56,1,$4.99,$1.99,$4.99,$3.00,Prepackaged Snacks,,,Dresses,$96.98,1.29%
Vintage ed hardy tee 𝖑𝖔𝖔𝖙 𝖔𝖓 𝖙𝖍𝖊 𝖑𝖔𝖜,$32.00,06-09-2025,15582,80.00%,$32.00,,$25.60,Tees,,,,,,,Bags,$606.99,2.17%,,0001K5,Mango Gummy 8D Peelable Candy Containing Concentrate Gummy ,,5,$24.95,$9.95,$24.95,$15.00,Prepackaged Snacks,,,Vests,$93.98,1.25%
iz byer california white stripe blazer 𝖈𝖔𝖗𝖕𝖔𝖗𝖆𝖙𝖊 𝖖𝖚𝖊𝖊𝖓,$30.00,06-10-2025,15609,80.00%,$30.00,,$24.00,Jackets,,,,,,,Blouses,$562.45,2.01%,,0002K1,Kasugai Lychee Hard Candy ,,5,$24.95,$13.25,$24.95,$11.70,Prepackaged Snacks,,,Blouses,$92.98,1.23%
vintage shortie stripe 𝖈𝖚𝖙𝖊 𝖆𝖘 𝖆 𝖇𝖚𝖙𝖙𝖔𝖓,$30.00,06-10-2025,15610,80.00%,$30.00,,$24.00,Shorts/Jorts,,,,,,,Hoodies,$553.98,1.98%,,0002QQ,Hi-Chew Tropical Mix Candy ,2025-06-07 16:57:08,1,$5.99,$3.29,$5.99,$2.70,Prepackaged Snacks,,,Sweaters,$88.98,1.18%
